Passenger_ID,Age,Gender,Class,Flight_Distance,Departure_Delay,Arrival_Delay,Flight_Duration,Seat_Comfort,InFlight_Entertainment,Food_Quality,Cleanliness,Cabin_Staff_Service,Legroom,Baggage_Handling,CheckIn_Service,Boarding_Process,WiFi_Service,Festival_Season_Travel,Overall_Satisfaction,Recommendation,Complaint_Submitted,Feedback_Comments,Loyalty_Membership,Frequent_Flyer,Baggage_Lost,Compensation_Received,Seat_Upgrade,Special_Assistance,Refund_Requested,Discount_Received,Preferred_Airline,Frequent_Route,Travel_Purpose_Family,Travel_Purpose_Leisure,Travel_Purpose_Medical,Travel_Purpose_Study,Travel_Purpose_Transit,Airline_Name_AirAsia India,Airline_Name_Akasa Air,Airline_Name_Alliance Air,Airline_Name_GoAir,Airline_Name_Indigo,Airline_Name_SpiceJet,Airline_Name_TruJet,Airline_Name_Vistara,Departure_City_Bangalore,Departure_City_Bhubaneswar,Departure_City_Chennai,Departure_City_Delhi,Departure_City_Guwahati,Departure_City_Hyderabad,Departure_City_Jaipur,Departure_City_Kochi,Departure_City_Kolkata,Departure_City_Lucknow,Departure_City_Mumbai,Departure_City_Pune,Arrival_City_Bangalore,Arrival_City_Bhubaneswar,Arrival_City_Chennai,Arrival_City_Delhi,Arrival_City_Guwahati,Arrival_City_Hyderabad,Arrival_City_Jaipur,Arrival_City_Kochi,Arrival_City_Kolkata,Arrival_City_Lucknow,Arrival_City_Mumbai,Arrival_City_Pune,Complaint_Type_Broken Entertainment System,Complaint_Type_Delay,Complaint_Type_Food,Complaint_Type_Long Security Check,Complaint_Type_No Complaint,Complaint_Type_Other,Complaint_Type_Service,Complaint_Type_Turbulence,Complaint_Type_Unhygienic Toilets,Seat_Type_Middle,Seat_Type_Standard,Seat_Type_Window,Booking_Channel_Mobile App,Booking_Channel_Online,Booking_Channel_Travel Agency,Payment_Method_Credit Card,Payment_Method_Debit Card,Payment_Method_Net Banking,Payment_Method_UPI,Airline_Loyalty_Program_Flying Returns (Air India),Airline_Loyalty_Program_IndiGo 6E Rewards,Airline_Loyalty_Program_SpiceClub
21,50,1,1,920,0,0,55,6,5,10,10,0,10,5,0,10,0,0,0,0.0,0,Terrible experience.,3,1,0,0,0,1,1.0,0,2,Bangalore - Hyderabad,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False
22,69,1,2,5000,0,5,300,0,0,10,6,10,10,6,10,6,0,0,1,0.0,0,Good,0,1,0,0,1,0,0.0,0,0,Bangalore - Hyderabad,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
23,19,1,0,1441,15,5,86,5,0,10,10,0,10,10,0,6,3,0,2,0.0,0,WiFi was not working.,0,0,1,0,0,1,1.0,1,1,Delhi - Mumbai,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False
24,74,1,2,5000,0,0,300,10,10,10,6,0,4,10,10,6,0,0,1,0.0,0,Bad,0,1,1,0,1,1,1.0,0,2,Bangalore - Hyderabad,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False
25,31,1,2,5000,15,5,300,10,10,10,10,10,2,10,10,2,0,0,1,1.0,0,Food was cold.,3,0,1,1,1,0,1.0,1,1,Delhi - Mumbai,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
26,90,1,2,1441,0,0,86,0,10,0,0,0,10,10,6,10,5,0,0,0.0,0,Terrible experience.,3,1,1,0,0,1,1.0,1,1,Delhi - Mumbai,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
27,90,0,0,1441,0,5,86,6,0,5,10,10,0,1,0,10,1,0,1,0.0,0,Good,0,1,1,0,1,0,0.0,0,1,Delhi - Mumbai,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False
28,50,1,1,2683,0,5,160,0,10,10,10,0,10,10,2,0,1,0,2,0.0,0,WiFi was not working.,3,0,1,0,0,1,0.0,1,0,Pune - Delhi,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
29,90,0,1,1441,0,5,86,0,0,10,10,0,10,6,0,10,1,1,2,1.0,0,Terrible experience.,1,1,0,0,0,0,0.0,0,0,Bangalore - Hyderabad,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
30,90,1,2,1441,15,0,86,0,0,0,10,10,10,0,10,0,0,0,2,0.0,0,Bad,3,0,0,0,0,0,0.0,0,2,Delhi - Mumbai,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
31,28,1,2,5000,0,5,300,10,5,10,0,0,10,4,6,0,0,0,1,0.0,0,Great service!,2,0,1,0,0,1,0.0,1,2,Pune - Delhi,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
32,50,0,1,1441,0,5,86,10,5,3,10,10,6,0,10,6,0,0,2,0.0,0,Bad,0,0,1,1,0,0,0.0,0,0,Bangalore - Hyderabad,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
33,90,1,2,1441,0,5,86,10,0,10,10,10,0,6,10,0,0,1,0,0.0,0,Great service!,2,1,1,0,0,1,0.0,0,1,Pune - Delhi,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
34,44,1,2,1441,0,5,86,10,3,10,6,2,6,6,0,0,0,0,3,0.0,0,No Feedback,2,0,1,0,1,0,0.0,0,1,Chennai - Kolkata,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True
35,40,1,2,5000,0,0,300,6,5,10,10,10,10,0,0,4,0,1,1,0.0,1,No Feedback,2,1,0,1,0,0,0.0,1,0,Pune - Delhi,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False
36,50,1,1,1441,15,5,86,10,4,10,0,0,10,0,0,0,0,1,2,0.0,0,Terrible experience.,3,0,1,0,0,0,0.0,1,1,Pune - Delhi,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False
37,70,1,2,1441,15,0,86,10,10,6,10,10,0,10,4,10,0,1,0,0.0,0,Good,3,1,0,0,0,1,0.0,1,0,Bangalore - Hyderabad,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False
38,90,1,0,1113,15,0,66,10,0,0,0,4,0,6,10,0,0,0,0,0.0,1,Bad,1,1,1,1,0,0,0.0,0,2,Delhi - Mumbai,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
39,90,1,2,5000,0,0,300,5,0,0,0,0,0,10,0,6,0,0,2,1.0,0,Food was cold.,0,1,1,1,0,1,0.0,1,2,Pune - Delhi,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False
40,90,0,0,1441,0,0,86,0,6,1,10,5,6,6,10,10,3,0,1,0.0,0,No Feedback,1,0,1,1,0,1,0.0,0,2,Bangalore - Hyderabad,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False
41,50,0,1,1441,12,0,86,10,6,10,10,10,10,0,0,0,0,1,0,0.0,0,Food was cold.,1,1,0,0,1,0,0.0,1,2,Pune - Delhi,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
42,90,1,2,1441,15,5,86,10,6,6,6,10,0,0,10,6,1,1,1,1.0,1,WiFi was not working.,1,0,0,0,0,0,0.0,0,2,Delhi - Mumbai,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
43,90,0,1,195,0,0,15,10,0,2,0,10,10,6,0,10,0,0,0,0.0,0,Terrible experience.,1,0,1,0,0,0,0.0,0,2,Bangalore - Hyderabad,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
44,90,1,0,5000,0,0,300,10,2,6,10,10,5,5,6,6,0,0,3,0.0,0,Bad,0,1,0,1,0,1,1.0,1,1,Bangalore - Hyderabad,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True
45,37,0,0,1441,0,0,86,1,10,0,10,0,0,6,10,0,0,0,1,1.0,1,Loved the flight.,2,0,0,0,1,0,0.0,1,1,Delhi - Mumbai,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
46,71,1,2,2611,0,0,156,1,10,0,0,10,0,10,10,10,0,0,2,0.0,0,Good,1,1,0,1,1,1,0.0,1,2,Bangalore - Hyderabad,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False
47,50,1,2,5000,15,0,300,10,0,2,0,4,0,0,0,0,0,0,2,0.0,0,Loved the flight.,0,1,1,0,0,0,0.0,1,0,Bangalore - Hyderabad,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
48,40,1,0,1441,15,0,86,0,0,0,2,2,0,10,3,0,0,0,1,0.0,0,Loved the flight.,2,1,0,1,0,0,0.0,1,0,Pune - Delhi,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False
49,90,0,1,265,0,4,15,10,10,6,2,6,0,0,6,0,0,1,3,0.0,0,Great service!,3,0,1,0,0,0,1.0,1,2,Chennai - Kolkata,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
50,50,0,2,1441,15,5,86,0,10,6,0,10,4,6,0,0,2,1,2,0.0,0,Bad,3,0,0,0,0,0,1.0,0,0,Delhi - Mumbai,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
51,50,0,1,5000,15,5,300,0,6,10,10,10,0,10,10,0,5,1,2,0.0,1,Bad,0,1,0,0,0,1,0.0,0,2,Pune - Delhi,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False
52,50,0,1,5000,15,0,300,10,10,10,10,5,10,6,10,3,0,1,3,0.0,1,WiFi was not working.,2,0,0,0,0,1,0.0,0,1,Delhi - Mumbai,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
53,76,1,1,2216,0,5,132,10,2,0,6,0,0,10,10,6,0,0,1,0.0,0,Bad,1,0,1,1,0,0,0.0,1,0,Delhi - Mumbai,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False
54,90,1,1,954,0,0,57,6,10,6,10,10,0,10,10,0,0,0,1,0.0,0,Great service!,2,0,0,1,0,1,0.0,0,0,Pune - Delhi,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False
55,50,1,2,1441,15,5,86,10,2,2,3,6,10,0,10,10,0,0,1,0.0,0,Good,3,0,0,0,1,1,0.0,1,2,Bangalore - Hyderabad,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
56,50,0,0,1441,15,5,86,10,6,6,5,10,6,0,10,6,1,1,0,0.0,1,Bad,3,0,0,0,0,0,0.0,0,0,Delhi - Mumbai,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False
57,39,1,2,1358,0,0,81,10,10,0,10,10,2,10,2,10,0,1,1,0.0,0,Good,2,1,1,0,0,0,1.0,1,0,Chennai - Kolkata,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
58,50,0,2,1388,15,5,83,10,0,0,10,0,6,0,10,0,0,1,0,0.0,0,Terrible experience.,0,0,0,0,1,0,1.0,1,2,Bangalore - Hyderabad,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
