Passenger_ID,Age,Gender,Nationality,Travel_Purpose,Flight_Number,Airline_Name,Class,Flight_Distance,Departure_City,Arrival_City,Departure_Delay,Arrival_Delay,Flight_Duration,Flight_Route_Type,Seat_Comfort,InFlight_Entertainment,Food_Quality,Cleanliness,Cabin_Staff_Service,Legroom,Baggage_Handling,CheckIn_Service,Boarding_Process,WiFi_Service,Festival_Season_Travel,Overall_Satisfaction,Recommendation,Complaint_Submitted,Complaint_Type,Feedback_Comments,Seat_Type,Loyalty_Membership,Frequent_Flyer,Baggage_Lost,Compensation_Received,Booking_Channel,Seat_Upgrade,Special_Assistance,Refund_Requested,Discount_Received,Preferred_Airline,Frequent_Route,Payment_Method,Airline_Loyalty_Program
11,50,Male,Indian,Leisure,AI480,Akasa Air,First Class,5000,Kolkata,Kochi,0,5,300,Domestic,10,2,10,0,0,2,0,0,0,0,1,Satisfied,1.0,0,Turbulence,Loved the flight.,Aisle,No,0,0,1,Airport Counter,0,0,0.0,1,Yes,Bangalore - Hyderabad,Net Banking,Club Vistara
12,50,Male,Indian,Family,AI420,Akasa Air,First Class,912,Pune,Hyderabad,0,0,54,Domestic,4,10,0,0,6,10,0,5,10,0,0,Happy,0.0,0,Unhygienic Toilets,Good,Middle,No,0,1,0,Online,0,1,0.0,0,No,Pune - Delhi,Net Banking,Club Vistara
13,74,Female,Indian,Leisure,AI163,Vistara,Economy,604,Jaipur,Kochi,15,5,36,Domestic,0,10,5,0,3,10,10,10,0,4,0,Neutral,0.0,1,Unhygienic Toilets,Loved the flight.,Standard,Platinum,1,1,1,Online,1,0,1.0,0,Yes,Chennai - Kolkata,Debit Card,Club Vistara
14,90,Female,Indian,Family,AI732,SpiceJet,Economy,1441,Kolkata,Lucknow,0,5,86,Domestic,0,6,10,6,10,10,5,6,4,0,1,Satisfied,0.0,1,Service,Loved the flight.,Middle,Silver,0,0,0,Travel Agency,1,0,0.0,0,Yes,Chennai - Kolkata,Net Banking,Club Vistara
15,50,Female,Indian,Business,AI289,Akasa Air,Economy,1441,Chennai,Guwahati,15,0,86,Domestic,0,5,0,0,10,10,0,6,2,5,1,Neutral,0.0,0,Broken Entertainment System,Food was cold.,Standard,No,0,1,0,Airport Counter,0,0,0.0,1,No,Delhi - Mumbai,Credit Card,SpiceClub
16,19,Female,Indian,Business,AI100,TruJet,First Class,1441,Delhi,Guwahati,10,5,86,Domestic,4,0,0,6,0,10,0,10,0,0,0,Satisfied,1.0,0,No Complaint,Loved the flight.,Window,Platinum,0,1,1,Mobile App,0,0,0.0,1,Yes,Delhi - Mumbai,Cash at Airport,Club Vistara
17,90,Male,Indian,Family,AI340,SpiceJet,Economy,1441,Bhubaneswar,Jaipur,0,5,86,Domestic,5,0,10,2,0,10,10,0,5,0,0,Satisfied,0.0,0,Other,No Feedback,Standard,No,0,0,1,Airport Counter,1,0,0.0,0,Yes,Delhi - Mumbai,Credit Card,Club Vistara
18,73,Male,Indian,Family,AI262,Indigo,Economy,1441,Lucknow,Jaipur,15,0,86,Domestic,10,6,1,10,10,10,0,1,0,5,1,Happy,0.0,0,No Complaint,Food was cold.,Standard,No,0,1,0,Travel Agency,0,0,0.0,1,No,Bangalore - Hyderabad,Cash at Airport,IndiGo 6E Rewards
19,50,Male,Indian,Business,AI134,Indigo,First Class,5000,Jaipur,Mumbai,0,0,300,Domestic,1,10,0,0,6,10,10,0,0,0,0,Neutral,1.0,0,Bad Experience,Loved the flight.,Standard,Silver,0,1,0,Airport Counter,0,1,0.0,1,Sometimes,Delhi - Mumbai,UPI,Club Vistara
20,90,Male,Indian,Family,AI806,Akasa Air,First Class,1441,Mumbai,Pune,15,5,86,Domestic,10,0,10,10,10,0,3,10,6,0,1,Dissatisfied,1.0,1,Service,WiFi was not working.,Middle,Silver,0,0,0,Airport Counter,0,0,0.0,1,No,Delhi - Mumbai,Debit Card,Flying Returns (Air India)
21,50,Male,Indian,Leisure,AI336,Air India,Economy,920,Hyderabad,Pune,0,0,55,Domestic,6,5,10,10,0,10,5,0,10,0,0,Dissatisfied,0.0,0,Long Security Check,Terrible experience.,Window,Silver,1,0,0,Travel Agency,0,1,1.0,0,Yes,Bangalore - Hyderabad,Debit Card,Club Vistara
22,69,Male,Indian,Medical,AI995,AirAsia India,First Class,5000,Chennai,Pune,0,5,300,Domestic,0,0,10,6,10,10,6,10,6,0,0,Happy,0.0,0,No Complaint,Good,Standard,Gold,1,0,0,Travel Agency,1,0,0.0,0,No,Bangalore - Hyderabad,Cash at Airport,Flying Returns (Air India)
23,19,Male,Indian,Family,AI644,Vistara,Business,1441,Kochi,Hyderabad,15,5,86,Domestic,5,0,10,10,0,10,10,0,6,3,0,Neutral,0.0,0,Other,WiFi was not working.,Standard,Gold,0,1,0,Online,0,1,1.0,1,Sometimes,Delhi - Mumbai,Credit Card,Flying Returns (Air India)
24,74,Male,Indian,Leisure,AI528,GoAir,First Class,5000,Lucknow,Jaipur,0,0,300,Domestic,10,10,10,6,0,4,10,10,6,0,0,Happy,0.0,0,Delay,Bad,Window,Gold,1,1,0,Travel Agency,1,1,1.0,0,Yes,Bangalore - Hyderabad,Debit Card,IndiGo 6E Rewards
25,31,Male,Indian,Leisure,AI248,GoAir,First Class,5000,Kochi,Ahmedabad,15,5,300,Domestic,10,10,10,10,10,2,10,10,2,0,0,Happy,1.0,0,Service,Food was cold.,Middle,Silver,0,1,1,Online,1,0,1.0,1,Sometimes,Delhi - Mumbai,UPI,Club Vistara
26,90,Male,Indian,Family,AI447,SpiceJet,First Class,1441,Bangalore,Delhi,0,0,86,Domestic,0,10,0,0,0,10,10,6,10,5,0,Dissatisfied,0.0,0,No Complaint,Terrible experience.,Aisle,Silver,1,1,0,Mobile App,0,1,1.0,1,Sometimes,Delhi - Mumbai,Debit Card,SpiceClub
27,90,Female,Indian,Family,AI690,Air India,Business,1441,Kochi,Ahmedabad,0,5,86,Domestic,6,0,5,10,10,0,1,0,10,1,0,Happy,0.0,0,Broken Entertainment System,Good,Middle,Gold,1,1,0,Online,1,0,0.0,0,Sometimes,Delhi - Mumbai,Net Banking,IndiGo 6E Rewards
28,50,Male,Indian,Study,AI248,Air India,Economy,2683,Bhubaneswar,Guwahati,0,5,160,Domestic,0,10,10,10,0,10,10,2,0,1,0,Neutral,0.0,0,Delay,WiFi was not working.,Standard,Silver,0,1,0,Airport Counter,0,1,0.0,1,No,Pune - Delhi,UPI,Club Vistara
29,90,Female,Indian,Family,AI340,SpiceJet,Economy,1441,Bhubaneswar,Mumbai,0,5,86,Domestic,0,0,10,10,0,10,6,0,10,1,1,Neutral,1.0,0,Turbulence,Terrible experience.,Aisle,No,1,0,0,Mobile App,0,0,0.0,0,No,Bangalore - Hyderabad,Cash at Airport,Club Vistara
30,90,Male,Indian,Business,AI995,AirAsia India,First Class,1441,Ahmedabad,Kolkata,15,0,86,Domestic,0,0,0,10,10,10,0,10,0,0,0,Neutral,0.0,0,Other,Bad,Aisle,Silver,0,0,0,Mobile App,0,0,0.0,0,Yes,Delhi - Mumbai,Net Banking,Club Vistara
31,28,Male,Indian,Leisure,AI995,AirAsia India,First Class,5000,Kochi,Guwahati,0,5,300,Domestic,10,5,10,0,0,10,4,6,0,0,0,Happy,0.0,0,Delay,Great service!,Window,Platinum,0,1,0,Airport Counter,0,1,0.0,1,Yes,Pune - Delhi,Credit Card,Flying Returns (Air India)
32,50,Female,Indian,Leisure,AI537,Alliance Air,Economy,1441,Chennai,Pune,0,5,86,Domestic,10,5,3,10,10,6,0,10,6,0,0,Neutral,0.0,0,Broken Entertainment System,Bad,Standard,Gold,0,1,1,Airport Counter,0,0,0.0,0,No,Bangalore - Hyderabad,Cash at Airport,SpiceClub
33,90,Male,Indian,Family,AI340,SpiceJet,First Class,1441,Ahmedabad,Bangalore,0,5,86,Domestic,10,0,10,10,10,0,6,10,0,0,1,Dissatisfied,0.0,0,Long Security Check,Great service!,Middle,Platinum,1,1,0,Airport Counter,0,1,0.0,0,Sometimes,Pune - Delhi,Credit Card,Flying Returns (Air India)
34,44,Male,Indian,Leisure,AI271,AirAsia India,First Class,1441,Jaipur,Delhi,0,5,86,Domestic,10,3,10,6,2,6,6,0,0,0,0,Satisfied,0.0,0,Other,No Feedback,Window,Platinum,0,1,0,Mobile App,1,0,0.0,0,Sometimes,Chennai - Kolkata,UPI,SpiceClub
35,40,Male,Indian,Leisure,AI442,Vistara,First Class,5000,Jaipur,Delhi,0,0,300,Domestic,6,5,10,10,10,10,0,0,4,0,1,Happy,0.0,1,Bad Experience,No Feedback,Window,Platinum,1,0,1,Mobile App,0,0,0.0,1,No,Pune - Delhi,Debit Card,Club Vistara
36,50,Male,Indian,Business,AI764,SpiceJet,Economy,1441,Guwahati,Ahmedabad,15,5,86,Domestic,10,4,10,0,0,10,0,0,0,0,1,Neutral,0.0,0,Broken Entertainment System,Terrible experience.,Standard,Silver,0,1,0,Mobile App,0,0,0.0,1,Sometimes,Pune - Delhi,UPI,Club Vistara
37,70,Male,Indian,Leisure,AI293,Vistara,First Class,1441,Ahmedabad,Jaipur,15,0,86,Domestic,10,10,6,10,10,0,10,4,10,0,1,Dissatisfied,0.0,0,Bad Experience,Good,Window,Silver,1,0,0,Online,0,1,0.0,1,No,Bangalore - Hyderabad,Debit Card,Flying Returns (Air India)
38,90,Male,Indian,Leisure,AI757,Akasa Air,Business,1113,Kolkata,Chennai,15,0,66,Domestic,10,0,0,0,4,0,6,10,0,0,0,Dissatisfied,0.0,1,Broken Entertainment System,Bad,Middle,No,1,1,1,Airport Counter,0,0,0.0,0,Yes,Delhi - Mumbai,Net Banking,Flying Returns (Air India)
39,90,Male,Indian,Business,AI248,Air India,First Class,5000,Kolkata,Chennai,0,0,300,Domestic,5,0,0,0,0,0,10,0,6,0,0,Neutral,1.0,0,Long Security Check,Food was cold.,Window,Gold,1,1,1,Online,0,1,0.0,1,Yes,Pune - Delhi,UPI,Club Vistara
40,90,Female,Indian,Business,AI327,Akasa Air,Business,1441,Delhi,Lucknow,0,0,86,Domestic,0,6,1,10,5,6,6,10,10,3,0,Happy,0.0,0,Food,No Feedback,Middle,No,0,1,1,Travel Agency,0,1,0.0,0,Yes,Bangalore - Hyderabad,Debit Card,IndiGo 6E Rewards
41,50,Female,Indian,Business,AI602,TruJet,Economy,1441,Lucknow,Delhi,12,0,86,Domestic,10,6,10,10,10,10,0,0,0,0,1,Dissatisfied,0.0,0,Broken Entertainment System,Food was cold.,Standard,No,1,0,0,Travel Agency,1,0,0.0,1,Yes,Pune - Delhi,Cash at Airport,Flying Returns (Air India)
42,90,Male,Indian,Study,AI754,Akasa Air,First Class,1441,Jaipur,Guwahati,15,5,86,Domestic,10,6,6,6,10,0,0,10,6,1,1,Happy,1.0,1,Delay,WiFi was not working.,Middle,No,0,0,0,Airport Counter,0,0,0.0,0,Yes,Delhi - Mumbai,Cash at Airport,SpiceClub
43,90,Female,Indian,Family,AI694,TruJet,Economy,195,Mumbai,Pune,0,0,15,Domestic,10,0,2,0,10,10,6,0,10,0,0,Dissatisfied,0.0,0,Food,Terrible experience.,Standard,No,0,1,0,Airport Counter,0,0,0.0,0,Yes,Bangalore - Hyderabad,UPI,SpiceClub
44,90,Male,Indian,Family,AI244,Indigo,Business,5000,Kochi,Ahmedabad,0,0,300,Domestic,10,2,6,10,10,5,5,6,6,0,0,Satisfied,0.0,0,Unhygienic Toilets,Bad,Middle,Gold,1,0,1,Travel Agency,0,1,1.0,1,Sometimes,Bangalore - Hyderabad,Debit Card,SpiceClub
45,37,Female,Indian,Family,AI134,Indigo,Business,1441,Ahmedabad,Guwahati,0,0,86,Domestic,1,10,0,10,0,0,6,10,0,0,0,Happy,1.0,1,Delay,Loved the flight.,Middle,Platinum,0,0,0,Airport Counter,1,0,0.0,1,Sometimes,Delhi - Mumbai,Credit Card,Club Vistara
46,71,Male,Indian,Family,AI340,SpiceJet,First Class,2611,Bangalore,Pune,0,0,156,Domestic,1,10,0,0,10,0,10,10,10,0,0,Neutral,0.0,0,Broken Entertainment System,Good,Standard,No,1,0,1,Travel Agency,1,1,0.0,1,Yes,Bangalore - Hyderabad,Debit Card,Club Vistara
47,50,Male,Indian,Business,AI248,GoAir,First Class,5000,Pune,Kochi,15,0,300,Domestic,10,0,2,0,4,0,0,0,0,0,0,Neutral,0.0,0,Delay,Loved the flight.,Middle,Gold,1,1,0,Mobile App,0,0,0.0,1,No,Bangalore - Hyderabad,Credit Card,IndiGo 6E Rewards
48,40,Male,Indian,Leisure,AI129,Vistara,Business,1441,Guwahati,Pune,15,0,86,Domestic,0,0,0,2,2,0,10,3,0,0,0,Happy,0.0,0,Long Security Check,Loved the flight.,Window,Platinum,1,0,1,Travel Agency,0,0,0.0,1,No,Pune - Delhi,Debit Card,Club Vistara
49,90,Female,Indian,Family,AI264,Alliance Air,Economy,265,Bangalore,Bhubaneswar,0,4,15,Domestic,10,10,6,2,6,0,0,6,0,0,1,Satisfied,0.0,0,No Complaint,Great service!,Aisle,Silver,0,1,0,Mobile App,0,0,1.0,1,Yes,Chennai - Kolkata,Debit Card,Flying Returns (Air India)
50,50,Female,Indian,Leisure,AI248,Air India,First Class,1441,Pune,Bangalore,15,5,86,Domestic,0,10,6,0,10,4,6,0,0,2,1,Neutral,0.0,0,Service,Bad,Aisle,Silver,0,0,0,Mobile App,0,0,1.0,0,No,Delhi - Mumbai,Cash at Airport,Flying Returns (Air India)
51,50,Female,Indian,Business,AI677,Indigo,Economy,5000,Delhi,Guwahati,15,5,300,Domestic,0,6,10,10,10,0,10,10,0,5,1,Neutral,0.0,1,No Complaint,Bad,Middle,Gold,1,0,0,Online,0,1,0.0,0,Yes,Pune - Delhi,Credit Card,IndiGo 6E Rewards
52,50,Female,Indian,Family,AI264,Alliance Air,Economy,5000,Bhubaneswar,Lucknow,15,0,300,Domestic,10,10,10,10,5,10,6,10,3,0,1,Satisfied,0.0,1,Long Security Check,WiFi was not working.,Standard,Platinum,0,0,0,Airport Counter,0,1,0.0,0,Sometimes,Delhi - Mumbai,Net Banking,Club Vistara
53,76,Male,Indian,Leisure,AI264,Alliance Air,Economy,2216,Kolkata,Hyderabad,0,5,132,Domestic,10,2,0,6,0,0,10,10,6,0,0,Happy,0.0,0,Delay,Bad,Standard,No,0,1,1,Online,0,0,0.0,1,No,Delhi - Mumbai,Debit Card,Flying Returns (Air India)
54,90,Male,Indian,Leisure,AI392,Akasa Air,Economy,954,Bhubaneswar,Hyderabad,0,0,57,Domestic,6,10,6,10,10,0,10,10,0,0,0,Happy,0.0,0,Unhygienic Toilets,Great service!,Standard,Platinum,0,0,1,Travel Agency,0,1,0.0,0,No,Pune - Delhi,Cash at Airport,Flying Returns (Air India)
55,50,Male,Indian,Family,AI248,Air India,First Class,1441,Ahmedabad,Chennai,15,5,86,Domestic,10,2,2,3,6,10,0,10,10,0,0,Happy,0.0,0,Delay,Good,Aisle,Silver,0,0,0,Travel Agency,1,1,0.0,1,Yes,Bangalore - Hyderabad,Credit Card,Club Vistara
56,50,Female,Indian,Business,AI289,TruJet,Business,1441,Pune,Guwahati,15,5,86,Domestic,10,6,6,5,10,6,0,10,6,1,1,Dissatisfied,0.0,1,Long Security Check,Bad,Window,Silver,0,0,0,Travel Agency,0,0,0.0,0,No,Delhi - Mumbai,Net Banking,Club Vistara
57,39,Male,Indian,Leisure,AI985,Akasa Air,First Class,1358,Bhubaneswar,Pune,0,0,81,Domestic,10,10,0,10,10,2,10,2,10,0,1,Happy,0.0,0,No Complaint,Good,Aisle,Platinum,1,1,0,Travel Agency,0,0,1.0,1,No,Chennai - Kolkata,Credit Card,Club Vistara
58,50,Female,Indian,Leisure,AI677,Air India,First Class,1388,Mumbai,Bangalore,15,5,83,Domestic,10,0,0,10,0,6,0,10,0,0,1,Dissatisfied,0.0,0,No Complaint,Terrible experience.,Aisle,Gold,0,0,0,Airport Counter,1,0,1.0,1,Yes,Bangalore - Hyderabad,Debit Card,IndiGo 6E Rewards
59,50,Male,Indian,Leisure,AI100,TruJet,Economy,438,Kochi,Guwahati,15,0,26,Domestic,0,6,0,10,0,0,10,0,0,0,1,Dissatisfied,0.0,0,Bad Experience,Bad,Standard,Gold,1,1,0,Mobile App,1,1,0.0,0,No,Chennai - Kolkata,Credit Card,SpiceClub
60,50,Male,Indian,Business,AI265,GoAir,Economy,1441,Hyderabad,Jaipur,15,0,86,Domestic,10,6,0,10,0,4,0,10,10,0,0,Neutral,0.0,0,No Complaint,WiFi was not working.,Middle,Silver,0,0,1,Travel Agency,0,1,0.0,0,No,Delhi - Mumbai,Credit Card,Club Vistara
61,50,Male,Indian,Family,AI902,GoAir,Economy,5000,Bhubaneswar,Delhi,15,0,300,Domestic,10,10,0,10,10,10,0,10,0,0,0,Happy,0.0,0,Broken Entertainment System,Good,Window,No,0,0,0,Online,0,0,0.0,1,Sometimes,Delhi - Mumbai,Net Banking,IndiGo 6E Rewards
62,68,Male,Indian,Family,AI510,Air India,Business,586,Bhubaneswar,Bangalore,15,0,35,Domestic,10,6,0,1,0,10,10,10,0,1,1,Dissatisfied,0.0,0,Delay,Terrible experience.,Standard,No,0,0,0,Online,0,1,1.0,0,No,Bangalore - Hyderabad,Credit Card,SpiceClub
63,90,Female,Indian,Leisure,AI549,Akasa Air,Business,1441,Delhi,Mumbai,15,0,86,Domestic,1,5,10,10,5,6,0,0,10,0,1,Satisfied,0.0,0,Turbulence,Good,Middle,Silver,0,0,0,Online,0,1,0.0,1,Sometimes,Pune - Delhi,Cash at Airport,Flying Returns (Air India)
64,90,Male,Indian,Family,AI340,Vistara,Economy,5000,Kolkata,Bangalore,0,0,300,Domestic,0,10,2,6,6,0,0,0,10,2,1,Happy,0.0,1,Food,Great service!,Window,Silver,1,1,1,Mobile App,0,1,0.0,0,No,Delhi - Mumbai,Net Banking,Club Vistara
65,90,Male,Indian,Family,AI248,GoAir,First Class,1441,Ahmedabad,Delhi,0,5,86,Domestic,10,10,3,3,10,5,10,10,10,1,1,Satisfied,0.0,0,Unhygienic Toilets,No Feedback,Middle,No,1,1,0,Travel Agency,1,0,0.0,1,No,Bangalore - Hyderabad,Credit Card,Club Vistara
66,50,Female,Indian,Business,AI248,Air India,Business,1441,Kochi,Ahmedabad,15,5,86,Domestic,6,6,0,0,10,10,3,6,3,0,0,Happy,0.0,1,Food,Bad,Middle,Gold,0,0,0,Mobile App,0,0,0.0,0,Sometimes,Chennai - Kolkata,UPI,Club Vistara
67,50,Male,Indian,Leisure,AI748,SpiceJet,Business,874,Jaipur,Hyderabad,0,0,52,Domestic,2,10,10,0,10,0,0,10,0,0,0,Satisfied,0.0,0,Service,Food was cold.,Standard,Platinum,1,1,0,Online,0,1,1.0,1,No,Delhi - Mumbai,Debit Card,IndiGo 6E Rewards
68,59,Male,Indian,Family,AI995,AirAsia India,Economy,1441,Ahmedabad,Lucknow,15,0,86,Domestic,10,10,10,6,10,0,0,10,6,1,0,Happy,1.0,0,Food,Good,Standard,No,1,0,0,Mobile App,0,1,0.0,0,No,Chennai - Kolkata,Debit Card,Flying Returns (Air India)
69,39,Male,Indian,Business,AI100,TruJet,First Class,1441,Bangalore,Pune,0,5,86,Domestic,4,2,4,0,10,0,0,10,6,0,0,Satisfied,0.0,0,No Complaint,Loved the flight.,Aisle,No,0,0,1,Airport Counter,0,0,0.0,0,No,Delhi - Mumbai,Cash at Airport,IndiGo 6E Rewards
70,65,Female,Indian,Leisure,AI995,AirAsia India,First Class,1441,Kochi,Delhi,15,0,86,Domestic,10,3,6,6,10,10,6,10,1,2,1,Happy,0.0,0,Turbulence,Good,Middle,Gold,0,1,0,Travel Agency,0,1,0.0,0,No,Delhi - Mumbai,UPI,IndiGo 6E Rewards
71,63,Male,Indian,Family,AI129,Vistara,Business,1441,Delhi,Jaipur,0,0,86,Domestic,0,6,0,10,10,10,1,0,6,0,0,Neutral,1.0,0,Broken Entertainment System,Good,Middle,Silver,1,1,0,Travel Agency,0,1,0.0,0,Sometimes,Delhi - Mumbai,UPI,Flying Returns (Air India)
72,50,Male,Indian,Business,AI116,TruJet,Economy,1441,Ahmedabad,Lucknow,15,5,86,Domestic,4,4,1,3,6,3,6,10,0,0,1,Dissatisfied,1.0,0,Long Security Check,Terrible experience.,Aisle,Silver,1,0,0,Travel Agency,0,1,0.0,1,Sometimes,Bangalore - Hyderabad,Cash at Airport,IndiGo 6E Rewards
73,24,Male,Indian,Family,AI248,GoAir,First Class,1441,Bhubaneswar,Chennai,0,0,86,Domestic,4,10,6,0,5,0,6,6,10,0,0,Happy,0.0,0,Delay,Loved the flight.,Window,No,0,0,0,Online,0,1,0.0,0,Yes,Delhi - Mumbai,Credit Card,Flying Returns (Air India)
74,50,Female,Indian,Family,AI485,Vistara,Economy,1441,Pune,Bhubaneswar,0,5,86,Domestic,10,10,10,0,0,5,10,10,6,1,0,Dissatisfied,1.0,0,Turbulence,Good,Aisle,Silver,0,0,1,Mobile App,0,0,0.0,0,Yes,Pune - Delhi,UPI,SpiceClub
75,61,Male,Indian,Leisure,AI126,TruJet,Business,5000,Lucknow,Jaipur,0,5,300,Domestic,10,1,0,10,2,6,4,10,3,0,1,Dissatisfied,1.0,0,Unhygienic Toilets,Terrible experience.,Window,Platinum,1,1,0,Travel Agency,1,0,0.0,1,Sometimes,Delhi - Mumbai,UPI,IndiGo 6E Rewards
76,55,Male,Indian,Family,AI129,Vistara,Economy,1441,Jaipur,Bhubaneswar,0,0,86,Domestic,10,5,5,6,3,6,0,0,6,0,1,Happy,0.0,0,Turbulence,Great service!,Middle,Gold,0,0,1,Mobile App,0,1,0.0,1,Yes,Pune - Delhi,Cash at Airport,IndiGo 6E Rewards
77,50,Male,Indian,Leisure,AI891,GoAir,First Class,1436,Bhubaneswar,Bangalore,15,0,86,Domestic,0,0,10,10,6,0,0,1,10,1,1,Happy,0.0,0,Broken Entertainment System,Bad,Window,Silver,1,0,0,Travel Agency,0,0,0.0,0,Sometimes,Bangalore - Hyderabad,Debit Card,IndiGo 6E Rewards
78,90,Female,Indian,Business,AI463,Indigo,Economy,1441,Bhubaneswar,Mumbai,0,5,86,Domestic,5,6,4,10,0,2,0,0,6,0,1,Dissatisfied,1.0,0,Delay,Loved the flight.,Window,No,0,0,1,Travel Agency,0,0,1.0,0,Sometimes,Delhi - Mumbai,Net Banking,SpiceClub
79,23,Male,Indian,Leisure,AI351,Alliance Air,Business,5000,Ahmedabad,Kochi,15,5,300,Domestic,10,6,6,6,6,10,4,10,6,0,0,Neutral,0.0,0,Bad Experience,No Feedback,Window,Silver,0,0,1,Travel Agency,1,1,0.0,1,No,Pune - Delhi,Debit Card,Flying Returns (Air India)
80,50,Female,Indian,Family,AI990,GoAir,First Class,1441,Hyderabad,Kolkata,15,5,86,Domestic,10,10,0,0,0,3,6,6,0,0,0,Satisfied,1.0,0,Turbulence,Food was cold.,Window,No,0,1,0,Travel Agency,1,0,0.0,0,Yes,Bangalore - Hyderabad,Credit Card,Club Vistara
81,90,Female,Indian,Family,AI129,Vistara,Economy,5000,Jaipur,Ahmedabad,0,5,300,Domestic,0,10,0,10,0,0,10,10,0,0,0,Happy,0.0,0,Delay,Good,Standard,No,0,0,1,Mobile App,0,0,0.0,0,No,Bangalore - Hyderabad,UPI,Club Vistara
82,50,Female,Indian,Leisure,AI395,AirAsia India,First Class,5000,Kolkata,Bangalore,15,0,300,Domestic,6,0,10,10,0,0,0,10,0,0,1,Neutral,0.0,0,Broken Entertainment System,Good,Standard,Gold,0,0,0,Mobile App,0,0,0.0,0,Sometimes,Chennai - Kolkata,Debit Card,Club Vistara
83,47,Male,Indian,Business,AI248,GoAir,Economy,1441,Jaipur,Guwahati,15,5,86,Domestic,0,10,0,6,6,1,0,10,0,0,1,Satisfied,0.0,0,Bad Experience,Good,Standard,Gold,1,0,0,Travel Agency,0,1,0.0,0,Sometimes,Bangalore - Hyderabad,Cash at Airport,SpiceClub
