Passenger_ID,Age,Gender,Class,Flight_Distance,Departure_Delay,Arrival_Delay,Flight_Duration,Seat_Comfort,InFlight_Entertainment,Food_Quality,Cleanliness,Cabin_Staff_Service,Legroom,Baggage_Handling,CheckIn_Service,Boarding_Process,WiFi_Service,Festival_Season_Travel,Overall_Satisfaction,Recommendation,Complaint_Submitted,Loyalty_Membership,Frequent_Flyer,Baggage_Lost,Compensation_Received,Seat_Upgrade,Special_Assistance,Refund_Requested,Discount_Received,Preferred_Airline,Frequent_Route_Chennai - Kolkata,Frequent_Route_Delhi - Mumbai,Frequent_Route_Pune - Delhi,Travel_Purpose_Family_True,Travel_Purpose_Leisure_True,Travel_Purpose_Medical_True,Travel_Purpose_Study_True,Travel_Purpose_Transit_True,Airline_Name_AirAsia India_True,Airline_Name_Akasa Air_True,Airline_Name_Alliance Air_True,Airline_Name_GoAir_True,Airline_Name_Indigo_True,Airline_Name_SpiceJet_True,Airline_Name_TruJet_True,Airline_Name_Vistara_True,Departure_City_Bangalore_True,Departure_City_Bhubaneswar_True,Departure_City_Chennai_True,Departure_City_Delhi_True,Departure_City_Guwahati_True,Departure_City_Hyderabad_True,Departure_City_Jaipur_True,Departure_City_Kochi_True,Departure_City_Kolkata_True,Departure_City_Lucknow_True,Departure_City_Mumbai_True,Departure_City_Pune_True,Arrival_City_Bangalore_True,Arrival_City_Bhubaneswar_True,Arrival_City_Chennai_True,Arrival_City_Delhi_True,Arrival_City_Guwahati_True,Arrival_City_Hyderabad_True,Arrival_City_Jaipur_True,Arrival_City_Kochi_True,Arrival_City_Kolkata_True,Arrival_City_Lucknow_True,Arrival_City_Mumbai_True,Arrival_City_Pune_True,Complaint_Type_Broken Entertainment System_True,Complaint_Type_Delay_True,Complaint_Type_Food_True,Complaint_Type_Long Security Check_True,Complaint_Type_No Complaint_True,Complaint_Type_Other_True,Complaint_Type_Service_True,Complaint_Type_Turbulence_True,Complaint_Type_Unhygienic Toilets_True,Seat_Type_Middle_True,Seat_Type_Standard_True,Seat_Type_Window_True,Booking_Channel_Mobile App_True,Booking_Channel_Online_True,Booking_Channel_Travel Agency_True,Payment_Method_Credit Card_True,Payment_Method_Debit Card_True,Payment_Method_Net Banking_True,Payment_Method_UPI_True,Airline_Loyalty_Program_Flying Returns (Air India)_True,Airline_Loyalty_Program_IndiGo 6E Rewards_True,Airline_Loyalty_Program_SpiceClub_True,Feedback,Total_Delay,Low_Seat_Comfort,Low_InFlight_Entertainment,Low_Food_Quality,Low_Cleanliness,Low_Cabin_Staff_Service,Low_Legroom,Low_Baggage_Handling,Low_CheckIn_Service,Low_Boarding_Process,Low_WiFi_Service,Satisfied
27,90,0,0,1441,0,5,86,4,1,4,5,5,1,2,1,5,2,0,4,0.0,0,0,1,1,0,1,0,0.0,0,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,Feedback_Comments_Good,5,0,1,0,0,0,1,1,1,0,1,1
28,50,1,1,2683,0,5,160,1,5,5,5,1,5,5,2,1,2,0,5,0.0,0,3,0,1,0,0,1,0.0,1,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,Feedback_Comments_WiFi was not working.,5,1,0,0,0,1,0,0,1,1,1,1
29,90,0,1,1441,0,5,86,1,1,5,5,1,5,4,1,5,2,1,5,1.0,0,1,1,0,0,0,0,0.0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Feedback_Comments_Terrible experience.,5,1,1,0,0,1,0,0,1,0,1,1
30,90,1,2,1441,15,0,86,1,1,1,5,5,5,1,5,1,1,0,5,0.0,0,3,0,0,0,0,0,0.0,0,2,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,,15,1,1,1,0,0,0,1,0,1,1,1
31,28,1,2,5000,0,5,300,5,4,5,1,1,5,3,4,1,1,0,4,0.0,0,2,0,1,0,0,1,0.0,1,2,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,Feedback_Comments_Great service!,5,0,0,0,1,1,0,0,0,1,1,1
32,50,0,1,1441,0,5,86,5,4,2,5,5,4,1,5,4,1,0,5,0.0,0,0,0,1,1,0,0,0.0,0,0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,,5,0,0,1,0,0,0,1,0,0,1,1
33,90,1,2,1441,0,5,86,5,1,5,5,5,1,4,5,1,1,1,3,0.0,0,2,1,1,0,0,1,0.0,0,1,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,Feedback_Comments_Great service!,5,0,1,0,0,0,1,0,0,1,1,0
34,44,1,2,1441,0,5,86,5,2,5,4,2,4,4,1,1,1,0,1,0.0,0,2,0,1,0,1,0,0.0,0,1,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,Feedback_Comments_No Feedback,5,0,1,0,0,1,0,0,1,1,1,0
35,40,1,2,5000,0,0,300,4,4,5,5,5,5,1,1,3,1,1,4,0.0,1,2,1,0,1,0,0,0.0,1,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,Feedback_Comments_No Feedback,0,0,0,0,0,0,0,1,1,0,1,1
36,50,1,1,1441,15,5,86,5,3,5,1,1,5,1,1,1,1,1,5,0.0,0,3,0,1,0,0,0,0.0,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,Feedback_Comments_Terrible experience.,20,0,0,0,1,1,0,1,1,1,1,1
37,70,1,2,1441,15,0,86,5,5,4,5,5,1,5,3,5,1,1,3,0.0,0,3,1,0,0,0,1,0.0,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,Feedback_Comments_Good,15,0,0,0,0,0,1,0,0,0,1,0
38,90,1,0,1113,15,0,66,5,1,1,1,3,1,4,5,1,1,0,3,0.0,1,1,1,1,1,0,0,0.0,0,2,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,,15,0,1,1,1,0,1,0,0,1,1,0
39,90,1,2,5000,0,0,300,4,1,1,1,1,1,5,1,4,1,0,5,1.0,0,0,1,1,1,0,1,0.0,1,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,Feedback_Comments_Food was cold.,0,0,1,1,1,1,1,0,1,0,1,1
40,90,0,0,1441,0,0,86,1,4,2,5,4,4,4,5,5,2,0,4,0.0,0,1,0,1,1,0,1,0.0,0,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,Feedback_Comments_No Feedback,0,1,0,1,0,0,0,0,0,0,1,1
41,50,0,1,1441,12,0,86,5,4,5,5,5,5,1,1,1,1,1,3,0.0,0,1,1,0,0,1,0,0.0,1,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,Feedback_Comments_Food was cold.,12,0,0,0,0,0,0,1,1,1,1,0
42,90,1,2,1441,15,5,86,5,4,4,4,5,1,1,5,4,2,1,4,1.0,1,1,0,0,0,0,0,0.0,0,2,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,Feedback_Comments_WiFi was not working.,20,0,0,0,0,0,1,1,0,0,1,1
43,90,0,1,195,0,0,15,5,1,2,1,5,5,4,1,5,1,0,3,0.0,0,1,0,1,0,0,0,0.0,0,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,Feedback_Comments_Terrible experience.,0,0,1,1,1,0,0,0,1,0,1,0
44,90,1,0,5000,0,0,300,5,2,4,5,5,4,4,4,4,1,0,1,0.0,0,0,1,0,1,0,1,1.0,1,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True,,0,0,1,0,0,0,0,0,0,0,1,0
45,37,0,0,1441,0,0,86,2,5,1,5,1,1,4,5,1,1,0,4,1.0,1,2,0,0,0,1,0,0.0,1,1,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,Feedback_Comments_Loved the flight.,0,1,0,1,0,1,1,0,0,1,1,1
46,71,1,2,2611,0,0,156,2,5,1,1,5,1,5,5,5,1,0,5,0.0,0,1,1,0,1,1,1,0.0,1,2,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,Feedback_Comments_Good,0,1,0,1,1,0,1,0,0,0,1,1
47,50,1,2,5000,15,0,300,5,1,2,1,3,1,1,1,1,1,0,5,0.0,0,0,1,1,0,0,0,0.0,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,Feedback_Comments_Loved the flight.,15,0,1,1,1,0,1,1,1,1,1,1
48,40,1,0,1441,15,0,86,1,1,1,2,2,1,5,2,1,1,0,4,0.0,0,2,1,0,1,0,0,0.0,1,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,Feedback_Comments_Loved the flight.,15,1,1,1,1,1,1,0,1,1,1,1
49,90,0,1,265,0,4,15,5,5,4,2,4,1,1,4,1,1,1,1,0.0,0,3,0,1,0,0,0,1.0,1,2,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,Feedback_Comments_Great service!,4,0,0,0,1,0,1,1,0,1,1,0
